Date,District,Cases
5/30/2020,Sylhet,55
5/30/2020,Tangail,0
5/30/2020,Thakurgaon,0
5/29/2020,Bagerhat,0
5/29/2020,Bandarban,2
5/29/2020,Barguna,0
5/29/2020,Barishal,0
5/29/2020,Bhola,0
5/29/2020,Bogura,22
5/29/2020,Brahmmanbaria,0
5/29/2020,Chandpur,0
5/29/2020,Chapai Nawabganj,0
5/29/2020,Chattogram,62
5/29/2020,Chuadanga,4
5/29/2020,Cox s Bazar,68
5/29/2020,Cumilla,0
5/29/2020,Dhaka,470
5/29/2020,Dinajpur,26
5/29/2020,Faridpur,0
5/29/2020,Feni,5
5/29/2020,Gaibandha,8
5/29/2020,Gazipur,0
5/29/2020,Gopalganj,0
5/29/2020,Habiganj,0
5/29/2020,Jamalpur,0
5/29/2020,Jashore,0
5/29/2020,Jhalakhati,0
5/29/2020,Jhenaidah,0
5/29/2020,Joypurhat,5
5/29/2020,Khagrachhari,0
5/29/2020,Khulna,0
5/29/2020,Kishoreganj,0
5/29/2020,Kurigram,3
5/29/2020,Kushtia,11
5/29/2020,Lakshmipur,0
5/29/2020,Lalmonirhat,0
5/29/2020,Madaripur,0
5/29/2020,Magura,0
5/29/2020,Manikganj,0
5/29/2020,Meherpur,4
5/29/2020,Moulvibazar,0
5/29/2020,Munshiganj,0
5/29/2020,Mymensing,0
5/29/2020,Naogaon,13
5/29/2020,Narail,0
5/29/2020,Narayanganj,0
5/29/2020,Narsingdi,0
5/29/2020,Natore,0
5/29/2020,Netrokona,0
5/29/2020,Nilphamari,10
5/29/2020,Noakhali,55
5/29/2020,Pabna,0
5/29/2020,Panchagarh,9
5/29/2020,Patuakhali,0
5/29/2020,Pirojpur,0
5/29/2020,Rajbari,0
5/29/2020,Rajshahi,0
5/29/2020,Rangamati,0
5/29/2020,Rangpur,6
5/29/2020,Satkhira,0
5/29/2020,Shariatpur,0
5/29/2020,Sherpur,0
5/29/2020,Sirajganj,1
5/29/2020,Sunamganj,17
5/29/2020,Sylhet,0
5/29/2020,Tangail,0
5/29/2020,Thakurgaon,0
5/28/2020,Bagerhat,0
5/28/2020,Bandarban,3
5/28/2020,Barguna,0
5/28/2020,Barishal,2
5/28/2020,Bhola,0
5/28/2020,Bogura,0
5/28/2020,Brahmmanbaria,0
5/28/2020,Chandpur,0
5/28/2020,Chapai Nawabganj,2
5/28/2020,Chattogram,88
5/28/2020,Chuadanga,0
5/28/2020,Cox s Bazar,60
5/28/2020,Cumilla,18
5/28/2020,Dhaka,249
5/28/2020,Dinajpur,1
5/28/2020,Faridpur,0
5/28/2020,Feni,44
5/28/2020,Gaibandha,0
